Word,Count,Sentences
iraq,53.0,"A few Tuesdays ago, the American people embraced this seriousness with regards to America’s policy in Iraq. [doc5.txt]
Iraq is descending into chaos based on ethnic divisions that were around long before American troops arrived. [doc5.txt]
And a report by our own intelligence agencies has concluded that al Qaeda is successfully using the war in Iraq to recruit a new generation of terrorists for its war on America. [doc5.txt]
"
american,39.0,"Throughout American history, there have been moments that call on us to meet the challenges of an uncertain world, and pay whatever price is required to secure our freedom. [doc5.txt]
In each case, what has been required to meet the challenges we face has been good judgment and clear vision from our leaders, and a fundamental seriousness and engagement on the part of the American people ? [doc5.txt]
A few Tuesdays ago, the American people embraced this seriousness with regards to America’s policy in Iraq. [doc5.txt]
It is that promise that has always set this country apart - that through hard work and sacrifice, each of us can pursue our individual dreams but still come together as one American family, to ensure that the next generation can pursue their dreams as well. [doc2.txt]
We meet at one of those defining moments - a moment when our nation is at war, our economy is in turmoil, and the American promise has been threatened once more. [doc2.txt]
We are more compassionate than a government that lets veterans sleep on our streets and families slide into poverty; that sits on its hands while a major American city drowns before our eyes. [doc2.txt]
"
america,39.0,"Thank you Roger Hickey and Bob Borosage for bringing us all together today and thank you for your leadership in the cause of a more progressive America. [doc3.txt]
My friends, we meet here today at a time where we find ourselves at a crossroads in America's history. [doc3.txt]
These are Americans who still believe in an America where anything's possible - they just don't think their leaders do. [doc3.txt]
Four years ago, I stood before you and told you my story - of the brief union between a young man from Kenya and a young woman from Kansas who weren't well-off or well-known, but shared a belief that in America, their son could achieve whatever he put his mind to. [doc2.txt]
America, we are better than these last eight years. [doc2.txt]
It's time for us to change America. [doc2.txt]
"
people,33.0,"To begin with, I discovered the warmth and sense of community that the people of Kenya possess - their sense of hopefulness even in the face of great difficulty. [doc4.txt]
The history of Africa is a history of ancient kingdoms and great traditions; the story of people fighting to be free from colonial rule; the heroism of not only of great men like Nkrumah and Kenyatta and Mandela, but also ordinary people who endured great hardship, from Ghana to South Africa, to secure self-determination in the face of great odds. [doc4.txt]
A foreign policy that gives hope and opportunity to the people of this great continent. [doc4.txt]
In the face of a politics that's shut you out, that's told you to settle, that's divided us for too long, you believe we can be one people, reaching for what's possible, building that more perfect union. [doc1.txt]
I saw that the problems people faced weren't simply local in nature - that the decision to close a steel mill was made by distant executives; that the lack of textbooks and computers in schools could be traced to the skewed priorities of politicians a thousand miles away; and that when a child turns to violence, there's a hole in his heart no government could ever fill. [doc1.txt]
It was here we learned to disagree without being disagreeable - that it's possible to compromise so long as you know those principles that can never be compromised; and that so long as we're willing to listen to each other, we can assume the best in people instead of the worst. [doc1.txt]
"
promise,31.0,"It is that promise that has always set this country apart - that through hard work and sacrifice, each of us can pursue our individual dreams but still come together as one American family, to ensure that the next generation can pursue their dreams as well. [doc2.txt]
Because for two hundred and thirty two years, at each moment when that promise was in jeopardy, ordinary men and women - students and soldiers, farmers and teachers, nurses and janitors -- found the courage to keep it alive. [doc2.txt]
We meet at one of those defining moments - a moment when our nation is at war, our economy is in turmoil, and the American promise has been threatened once more. [doc2.txt]
"
time,31.0,"My friends, we meet here today at a time where we find ourselves at a crossroads in America's history. [doc3.txt]
It's a time where you can go to any town hall or street corner or coffee shop and hear people express the same anxiety about the future; hear them convey the same uncertainty about the direction we're headed as a country. [doc3.txt]
That she was born at a time for black folks when lynchings were not uncommon, but voting was. [doc3.txt]
I am grateful to finish this journey with one of the finest statesmen of our time, a man at ease with everyone from world leaders to the conductors on the Amtrak train he still takes home every night. [doc2.txt]
But the record's clear: John McCain has voted with George Bush ninety percent of the time. [doc2.txt]
Senator McCain likes to talk about judgment, but really, what does it say about your judgment when you think George Bush has been right more than ninety percent of the time? [doc2.txt]
"
kenya,29.0,"The first time I came to Kenya was in 1987. [doc4.txt]
To begin with, I discovered the warmth and sense of community that the people of Kenya possess - their sense of hopefulness even in the face of great difficulty. [doc4.txt]
I learned about the brutal repression of Operation Anvil, the days of rape and torture in the ""Pipeline"" camps, the lives that so many gave, and how my grandfather had been arrested briefly during this period, despite being at the periphery of Kenya's liberation struggles. [doc4.txt]
"
know,26.0,"She believed that over a span of three centuries, she had seen enough to know that there is no challenge too great, no injustice too crippling, no destiny too far out of reach for America. [doc3.txt]
No more can we count on employers to provide health care and pensions and job training when their bottom-lines know no borders. [doc3.txt]
You know, you probably never thought you'd hear this at a Take Back America conference, but Newt Gingrich made a great point a few weeks ago. [doc3.txt]
It's humbling, but in my heart I know you didn't come here just for me, you came here because you believe in what this country can be. [doc1.txt]
As most of you know, I am not a native of this great state. [doc1.txt]
It was here we learned to disagree without being disagreeable - that it's possible to compromise so long as you know those principles that can never be compromised; and that so long as we're willing to listen to each other, we can assume the best in people instead of the worst. [doc1.txt]
"
iraqi,24.0,"When I came here and gave a speech on this war a year ago, I suggested that we begin to move towards a phased redeployment of American troops from Iraqi soil. [doc5.txt]
300,000 Iraqi security forces have supposedly been recruited and trained over the last two years, and yet American troop levels have not been reduced by a single soldier. [doc5.txt]
American ‘timeline’ for action on urgent Iraqi political issues; ordered American commanders to lift checkpoints they had set up around the Shiite district of Sadr City to hunt for a kidnapped American soldier and a fugitive Shiite death squad leader; and blamed the Americans for the deteriorating security situation in Iraq. [doc5.txt]
"
war,21.0,"Americans were originally persuaded by the President to go to war in part because of the threat of weapons of mass destruction, and in part because they were told that it would help reduce the threat of international terrorism. [doc5.txt]
And now, after three long years of watching the same back and forth in Washington, the American people have sent a clear message that the days of using the war on terror as a political football are over. [doc5.txt]
2,867 Americans have now died in this war. [doc5.txt]
"
mccain,20.0,"The Republican nominee, John McCain, has worn the uniform of our country with bravery and distinction, and for that we owe him our gratitude and respect. [doc2.txt]
But the record's clear: John McCain has voted with George Bush ninety percent of the time. [doc2.txt]
Senator McCain likes to talk about judgment, but really, what does it say about your judgment when you think George Bush has been right more than ninety percent of the time? [doc2.txt]
"
